Date,Monmean,Monmax,Monrang,Time,Reef,Coral ID,Genotype,Salinity,Temp,Depth,P_rate,R_rate,Healthy (Y/N),Algae growth (%),Mortality (%),Healthy tissue (%), White (%),Total (%),Pale (%) living tissue,Blotchy (Y/N) ,Disease (Y/N),Tumor (Y/N),Fish Bites (#),Boring (Y/N)
12/17/19,25.38533602,26.74,4.64,3,Conch,A13,A,35,79,26.8,,,yes,0,0,90,10,100,0,no,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,A14,A,35,79,26.8,,,yes,0,0,85,15,100,60,yes,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,A3,A,35,79,26.8,915.16,338.55,yes,0,0,98,2,100,10,yes,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,A4,A,35,79,26.8,673.11,288.44,yes,0,0,90,10,100,15,yes,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,B13,B,35,79,26.8,,,yes,0,5,75,20,100,25,yes,no,no,1,no
12/17/19,25.38533602,26.74,4.64,3,Conch,B14,B,35,79,26.8,,,no,0,0,20,80,100,100,yes,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,B3,B,35,79,26.8,942.21,73.14,yes,0,0,85,15,100,15,yes,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,B4,B,35,79,26.8,-372.27,-439.47,yes,0,0,95,5,100,20,yes,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,C13,C,35,79,26.8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/17/19,25.38533602,26.74,4.64,3,Conch,C14,C,35,79,26.8,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/17/19,25.38533602,26.74,4.64,3,Conch,C3,C,35,79,26.8,2309.06,-38.76,no,0,30,45,25,100,90,yes,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,C4,C,35,79,26.8,2014.5,-442.16,yes,0,5,85,10,100,10,no,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,D13,D,35,79,26.8,,,yes,0,0,99,1,100,20,yes,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,D14,D,35,79,26.8,,,yes,0,0,90,10,100,40,yes,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,D3,D,35,79,26.8,475.7,-208.04,yes,0,3,87,10,100,40,yes,no,no,0,no
12/17/19,25.38533602,26.74,4.64,3,Conch,D4,D,35,79,26.8,,,yes,0,1,94,5,100,15,yes,no,no,0,yes
05/30/21,25.81329167,,,4,Conch,A13,A,31,82.4,26.8,,,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
